Close,DateTime,High,Low,Open,Symbol,Volume
233.89,1.57189E+12,236.37,233.07,234.81,HD,2184113
234.38,1.57198E+12,235.42,232.55,233.49,HD,2210872
236.8,1.57224E+12,236.96,234.56,234.95,HD,2705001
234.14,1.57233E+12,237.5,233.92,236.84,HD,2558004
236.24,1.57241E+12,236.6,232.88,233.51,HD,1956669
234.58,1.5725E+12,237.39,233.22,236.86,HD,2824072
237.34,1.57258E+12,237.445,235.061,236.07,HD,2197403
234.92,1.57285E+12,238.39,233.88,238.27,HD,2542426
232.2,1.57293E+12,234.92,230.27,234.74,HD,3624629
234.01,1.57302E+12,234.04,231.89,232.83,HD,2631943
232.94,1.57311E+12,235.79,231.76,234,HD,2832865
232.84,1.57319E+12,233.26,231.6313,232.8,HD,2088455
231.8,1.57345E+12,232.28,230.18,230.5,HD,2310669
233.12,1.57354E+12,234.63,232,232.15,HD,2991171
234.8,1.57362E+12,234.9,230.85,232.09,HD,2625015
236.55,1.57371E+12,236.94,234.04,235,HD,2283848
237.29,1.5738E+12,238.05,236.36,237.69,HD,3526672
238.85,1.57406E+12,239.3091,236.76,238.44,HD,5766962
225.86,1.57414E+12,233.12,225.4,230.6,HD,14984830
220.9,1.57423E+12,225,220.57,224.55,HD,10228810
218.54,1.57432E+12,222.31,218.5,221.94,HD,7823720
